loss,grad_norm,learning_rate,mean_token_accuracy,epoch,step
2.2266,1.1170823574066162,3e-05,0.5210776329040527,0.0509554140127388,1
2.2183,1.1047792434692385,6e-05,0.5230781510472298,0.1019108280254777,2
2.2006,1.097900152206421,8.999999999999999e-05,0.5239077284932137,0.1528662420382165,3
2.1081,1.0616103410720823,0.0001199999999999,0.532418891787529,0.2038216560509554,4
1.9395,1.0096577405929563,0.00015,0.5678416267037392,0.2547770700636942,5
1.7566,1.0139800310134888,0.0001799999999999,0.5857885256409645,0.3057324840764331,6
1.5335,1.0977659225463867,0.0002099999999999,0.6367828398942947,0.3566878980891719,7
1.3054,1.303563952445984,0.0002399999999999,0.6928544342517853,0.4076433121019108,8
1.1774,7.337540626525879,0.00027,0.7016804292798042,0.4585987261146497,9
1.0171,2.185199737548828,0.0003,0.7520859688520432,0.5095541401273885,10
0.9201,1.1250600814819336,0.0002983333333333,0.7783860340714455,0.5605095541401274,11
0.8312,1.1382920742034912,0.0002966666666666,0.7977683171629906,0.6114649681528662,12
0.7785,0.8058651089668274,0.0002949999999999,0.801378533244133,0.6624203821656051,13
0.7371,0.4240974485874176,0.0002933333333333,0.8131077811121941,0.7133757961783439,14
0.7298,0.3539084494113922,0.0002916666666666,0.8135069161653519,0.7643312101910829,15
0.721,0.313331663608551,0.00029,0.8142808526754379,0.8152866242038217,16
0.7017,0.2566421329975128,0.0002883333333333,0.8171896934509277,0.8662420382165605,17
0.6987,0.2505878508090973,0.0002866666666666,0.81660395860672,0.9171974522292994,18
0.7028,0.2577123343944549,0.000285,0.8146858736872673,0.9681528662420382,19
0.7118,0.2999730110168457,0.0002833333333333,0.8137761354446411,1.0,20
0.6864,0.2083161324262619,0.0002816666666666,0.8180155381560326,1.0509554140127388,21
0.6683,0.1942252665758133,0.00028,0.8208936229348183,1.1019108280254777,22
0.6717,0.1856852918863296,0.0002783333333333,0.8201373741030693,1.1528662420382163,23
0.6618,0.1720302253961563,0.0002766666666666,0.8221208453178406,1.2038216560509554,24
0.671,0.1641105711460113,0.0002749999999999,0.8203649818897247,1.2547770700636942,25
0.6531,0.1539998799562454,0.0002733333333333,0.8234501555562019,1.305732484076433,26
0.6515,0.1852117925882339,0.0002716666666666,0.8235851973295212,1.356687898089172,27
